name_iupac,name_common,name_acronyms,cas,mol_formula,smiles,dD,dP,dH,radius,mw,bp_c,density_g_ml,cf_class,cf_subclass,ghs_hazard,processing_notes
"1,1,1,2-tetrachloroethane","1,1,1,2-Tetrachloroethane",,630-20-6,C2H2Cl4,ClCC(Cl)(Cl)Cl,18.0,4.4,4.2,,167.8,130.6,,Organochlorides,,H302; H310; H318; H319; H331; H332; H351; H412; H320; H335; H341; H373; H402,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 630-20-6 validated by pipeline
"1,1,1-trichloroethane","1,1,1-Trichloroethane",,71-55-6,C2H3Cl3,CC(Cl)(Cl)Cl,16.8,4.3,2.0,,133.4,,,Organochlorides,,H332; H420; H225; H315; H319; H290; H320; H336; H350; H360; H370; H372; H400; H410; H335; H351; H361; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 71-55-6 validated by pipeline
"1,1,2,2-tetrabromoethane","1,1,2,2-Tetrabromoethane",,79-27-6,C2H2Br4,BrC(Br)C(Br)Br,21.0,7.0,8.2,,345.65,243.6,,Organobromides,,H319; H330; H412; H302; H315; H331; H335; H370; H372; H373; H320; H371,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organobromides | [CAS] CAS 79-27-6 validated by pipeline
"1,1,2,2-tetrachloroethane","1,1,2,2-Tetrachloroethane",,79-34-5,C2H2Cl4,ClC(Cl)C(Cl)Cl,18.8,5.1,5.3,,167.8,,,Organochlorides,,H310; H330; H411; H302; H350; H315; H319; H331; H335; H336; H341; H351; H370; H372; H227; H301; H401,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 79-34-5 validated by pipeline
"1,1,2,2-tetrachloropropane","1,1,2,2-Tetrachloropropane",,13116-60-4,C3H4Cl4,CC(Cl)(Cl)C(Cl)Cl,17.9,6.7,3.3,,181.9,153.0,,Organochlorides,,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 13116-60-4 validated by pipeline
"1,1,2-tribromoethene","1,1,2-Tribromo Ethylene",,598-16-3,C2HBr3,BrC=C(Br)Br,18.3,9.4,8.0,,264.74,164.1,,Vinyl halides,Vinyl bromides,H302; H312; H315; H319; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 598-16-3 validated by pipeline
"1,1,2-trichloroprop-1-ene","1,1,2-Trichloro Propene",,21400-25-9,C3H3Cl3,CC(Cl)=C(Cl)Cl,17.7,15.7,3.4,,145.41,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 21400-25-9 validated by pipeline
"1,1,2-trichloroethane","1,1,2-Trichloroethane",,79-00-5,C2H3Cl3,ClCC(Cl)Cl,18.2,5.3,6.8,,133.4,,,Organochlorides,,H302; H312; H332; H351; H331; H412; H315; H320; H335; H336; H370; H372; H402; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 79-00-5 validated by pipeline
"1,1,3,3-tetramethoxypropane","1,1,3,3-Tetramethoxypropane",,102-52-3,C7H16O4,COC(CC(OC)OC)OC,15.0,7.1,6.8,,164.2,183.1,,Organooxygen compounds,Ethers,H226; H315,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 102-52-3 validated by pipeline
3-(1-prop-2-enoxyethoxy)prop-1-ene,"1,1-Diallyloxyethane",,20682-69-3,C8H14O2,CC(OCC=C)OCC=C,15.4,5.1,4.8,,142.2,,,Organooxygen compounds,Ethers,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 20682-69-3 validated by pipeline
"1,1-dibromoethane","1,1-Dibromoethane",,557-91-5,C2H4Br2,CC(Br)Br,18.5,8.4,8.8,,187.86,109.5,,Organobromides,,H301; H302; H311; H312; H315; H319; H331; H332; H335; H351,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organobromides | [CAS] CAS 557-91-5 validated by pipeline
"1,1-dibromoethene","1,1-Dibromoethylene",,593-92-0,C2H2Br2,BrC(Br)=C,16.2,4.8,7.0,,185.85,92.1,,Organooxygen compounds,Ketene acetals,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 593-92-0 validated by pipeline
"1,1-dichloro-1-nitroethane","1,1-Dichloro-1-Nitroethane",,594-72-9,C2H3Cl2NO2,CC(Cl)(Cl)[N+]([O-])=O,16.8,12.1,4.3,,143.95,123.6,,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,H301; H311; H331; H226; H302; H315; H370,"[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Allyl-type 1,3-dipolar organic compounds | [CAS] CAS 594-72-9 validated by pipeline"
"1,1-dichloropropan-2-one","1,1-Dichloroacetone",,513-88-2,C3H4Cl2O,CC(=O)C(Cl)Cl,17.1,7.6,5.4,,126.97,120.1,,Organooxygen compounds,Carbonyl compounds,H226; H301; H302; H314; H318; H319; H400; H410,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 513-88-2 validated by pipeline
